13.5	245.5	215.6	101.8	64	0.21	10187
10.9	250.1	263.5	102.2	30	0.37	10188
11.8	195.4	241.5	101.1	46	0.28	10189
13	272.4	269.7	101.8	59	0.31	10190
15	350.8	290.4	101.8	69	0.27	10287
11.7	194.5	205.9	102.1	28	0.35	10288
13	260.1	299.1	101.6	40	0.4	10289
12.6	392.2	216.7	101.3	69	0.25	10290
14.3	310.7	242.6	101.8	73	0.21	10387
13.1	169	136.8	102	46	0.26	10388
14	195	165.6	101.6	41	0.29	10389
11.8	216.4	261	102.2	65	0.22	10390
13.5	595.4	97.5	101	87	0.16	10487
14.5	178.1	238.9	101.9	46	0.29	10488
13.3	354.9	179	101.7	85	0.14	10489
11.9	276.1	315.3	102.3	39	0.38	10490
13.9	664.2	234.4	101.4	66	0.4	10587
13.4	415.9	128.7	101.7	82	0.18	10588
12.8	409.1	188.3	102.2	81	0.14	10589
12.3	260.1	302.2	102.2	40	0.37	10590
12.8	380.8	216.6	101.9	67	0.24	10687
13	291.1	286.5	101.9	72	0.22	10688
10.9	603.1	284.3	102	53	0.44	10689
13	124.8	310.3	102.4	35	0.32	10690
13.3	404.5	246	101.8	69	0.28	10787
11.3	281.5	218.8	102	78	0.14	10788
8.5	205.4	203.3	102.4	58	0.18	10789
12	182.7	279.6	102.5	52	0.26	10790
12	302.9	303.6	102.3	61	0.28	10887
12.2	263.8	279.8	102.1	70	0.21	10888
8.6	263.8	300.6	102.8	58	0.25	10889
13.2	212.3	289.3	101.9	62	0.22	10890
12.5	334.8	269.1	102.3	47	0.36	10987
12.6	275.1	309.1	102.1	73	0.21	10988
9.8	278.8	313.8	102.4	43	0.33	10989
14.7	216.4	291	101.8	56	0.26	10990
11.7	245.1	321.4	102	46	0.34	11087
15.4	249.2	270.2	101.9	47	0.33	11088
11.8	236.9	315.5	101.8	57	0.26	11089
14.5	233.7	269.8	101.8	79	0.18	11090
13.7	251.5	320.1	101.8	37	0.4	11187
13.9	262.8	237	101.6	80	0.2	11188
13.7	385.8	308.9	102	49	0.45	11189
15	279.7	274	101.7	68	0.24	11190
14.3	266.5	319.3	101.7	36	0.46	11287
13.1	306.6	313.2	101.8	64	0.33	11288
12.5	495.6	327.9	102.5	20	0.68	11289
15.2	320.2	273.7	101.7	72	0.27	11290
13.1	258.7	236.2	101.6	68	0.21	11387
13.2	280.2	295.2	102.2	45	0.37	11388
9.9	260.6	318.6	102.6	38	0.34	11389
15.6	493.4	147.7	101.8	85	0.17	11390
13.6	303.8	169.6	101.3	75	0.17	11487
14.7	185.4	332.7	102.1	33	0.42	11488
9.4	237.8	324.4	102.3	61	0.25	11489
14.5	359.9	224.9	101.7	79	0.2	11490
12.1	546.6	225.1	100.7	56	0.42	11587
13.9	253.7	166.5	101.6	61	0.24	11588
10.5	285.2	321.9	102.4	59	0.29	11589
12.7	304.8	125.7	101.7	78	0.16	11590
7.6	429.6	331.1	101.2	32	0.5	11687
13.1	307.5	218.4	101.6	71	0.23	11688
12.1	256.5	320.2	102.1	29	0.42	11689
12.8	364	167.4	101.6	74	0.22	11690
8.5	307	325	102	33	0.4	11787
13.7	255.6	331.9	101.8	28	0.46	11789
10.8	416.4	204.2	101.2	61	0.3	11790
10.8	348	314.4	102.3	53	0.35	11887
12.9	776.7	293.6	101.1	56	0.56	11888
14.8	250.5	335.9	101.8	31	0.46	11889
10.2	302.9	272.2	101.5	59	0.28	11890
11.8	348	297.7	101.5	62	0.3	11987
11.4	329.4	344	101.8	51	0.4	11988
16.6	262.8	315.9	101.6	27	0.53	11989
11.4	238.2	298.5	101.7	61	0.26	11990
13	486.1	349.6	102.1	20	0.72	12087
10.5	245.5	346.5	102.7	37	0.36	12088
16.5	216.8	189.1	101.6	31	0.41	12089
12.7	220.9	305	101.8	46	0.32	12090
11.1	307.5	324.1	102.3	34	0.44	12187
11.2	238.7	316.4	102.1	51	0.31	12188
17.5	275.6	146.1	101.3	32	0.43	12189
13	225	220.4	101.7	43	0.32	12190
12.1	346.2	263.6	101.7	50	0.33	12287
14.9	547.1	336.4	102.5	21	0.83	12288
13.8	285.2	313	101.3	61	0.3	12289
13.6	244.6	307.7	101.5	36	0.41	12290
13.2	247.4	239.6	101.4	72	0.18	12387
12.6	245.5	354.3	102.1	33	0.42	12388
12.6	397.7	195.4	101.4	69	0.22	12389
14.8	261.5	350.8	101.6	35	0.48	12390
13.1	305.2	328.6	101.9	72	0.23	12487
14.6	272	355.5	102	46	0.41	12488
12.6	301.6	175.2	101.3	78	0.16	12489
16.5	169.5	340.6	101.6	27	0.49	12490
14.3	251.5	354.1	102.1	66	0.28	12587
